Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Running,2020-01-11 09:44:14,false,"Washington Running","8.00","554","01:14:26","149","190","3.5","175","198","9:18","7:54","291","299","0.99","0.0","0.0","0.0","0.0","0.0","1:14:26","0:00","0.0","0:00","No","00:01.75","9","0.0"
Treadmill Running,2020-01-10 17:47:42,false,"Treadmill Running","3.29","273","00:30:03","165","191","3.4","174","192","9:08","8:14","--","--","1.00","0.0","0.0","0.0","0.0","0.0","30:03","0:00","0.0","0:00","No","02:40.81","4","0.0"
Running,2020-01-08 19:37:18,false,"Washington Running","5.78","392","00:50:02","151","177","3.2","178","196","8:40","7:45","216","215","1.04","0.0","0.0","0.0","0.0","0.0","50:02","0:00","0.0","0:00","No","06:37.99","6","0.0"
Running,2020-01-06 17:43:55,false,"Washington Running","4.51","360","00:40:03","167","188","3.9","178","199","8:53","5:44","278","279","1.02","0.0","0.0","0.0","0.0","0.0","40:03","0:00","0.0","0:00","No","04:09.39","5","0.0"
Running,2020-01-04 10:57:41,false,"Washington Running","5.01","323","00:44:43","147","170","3.0","179","217","8:56","7:41","244","224","1.01","0.0","0.0","0.0","0.0","0.0","44:43","0:00","0.0","0:00","No","00:03.98","6","0.0"
Treadmill Running,2020-01-03 18:31:20,false,"Treadmill Running","3.18","257","00:30:03","168","186","3.5","174","189","9:26","8:26","--","--","0.98","0.0","0.0","0.0","0.0","0.0","30:03","0:00","0.0","0:00","No","01:44.51","4","0.0"
Running,2020-01-01 15:51:15,false,"Washington Running","5.07","413","00:45:04","175","187","4.6","176","202","8:53","7:01","274","267","1.03","0.0","0.0","0.0","0.0","0.0","45:04","0:00","0.0","0:00","No","00:41.10","6","0.0"
Running,2019-12-30 18:50:58,false,"Washington Running","3.66","301","00:35:03","163","193","3.6","178","233","9:35","8:33","235","220","0.95","0.0","0.0","0.0","0.0","0.0","35:03","0:00","0.0","0:00","No","06:10.18","4","0.0"
Running,2019-12-28 13:24:50,false,"Washington Running","6.36","567","01:00:09","172","190","5.0","173","209","9:27","8:07","300","324","0.98","0.0","0.0","0.0","0.0","0.0","1:00:09","0:00","0.0","0:00","No","04:05.04","7","0.0"
Running,2019-12-27 19:00:26,false,"Washington Running","3.31","227","00:30:14","144","182","2.9","177","194","9:09","7:53","184","407","1.00","0.0","0.0","0.0","0.0","0.0","30:14","0:00","0.0","0:00","No","02:40.40","4","0.0"
Running,2019-12-25 11:05:59,false,"Washington Running","3.40","304","00:30:08","173","192","4.3","175","198","8:52","7:17","191","191","1.04","0.0","0.0","0.0","0.0","0.0","30:08","0:00","0.0","0:00","No","03:15.59","4","0.0"
